Date,Streamflow(cfs),Precipitation(mm),
4/19/18,0,0,
4/20/18,0,0,
4/21/18,0,16.5,
4/22/18,0,0.3,
4/23/18,0,0,
4/24/18,0,0,
4/25/18,0,19.8,
4/26/18,0,0,
4/27/18,0,0,
4/28/18,0,0,
4/29/18,0,0,
4/30/18,0,0,
5/1/18,0,0.3,
5/2/18,0,19.6,
5/3/18,0,16,
5/4/18,0,0,
5/5/18,0,0,
5/6/18,0,0,
5/7/18,0,0,
5/8/18,0,0,
5/9/18,0,0,
5/10/18,0,0,
5/11/18,0,0,
5/12/18,0,0,
5/13/18,0,0.5,
5/14/18,0,5.3,
5/15/18,0,0,
5/16/18,0,0,
5/17/18,0,0,
5/18/18,0,0.3,
5/19/18,0,18.5,
5/20/18,0,0.5,
5/21/18,0,0,
5/22/18,0,0,
5/23/18,0,0,
5/24/18,0,0,
5/25/18,0,0,
5/26/18,0,0,
5/27/18,0,0,
5/28/18,0,0,
5/29/18,0,19.1,
5/30/18,0,0.3,
5/31/18,0,0,
6/1/18,0,0,
6/2/18,0,13.7,
6/3/18,0,0,
6/4/18,0,0,
6/5/18,0,0,
6/6/18,0,0,
6/7/18,0,0,
6/8/18,0,0,
6/9/18,0,0,
6/10/18,0,0,
6/11/18,0,5.6,
6/12/18,0,0,
6/13/18,0,0,
6/14/18,0,0,
6/15/18,0,0,
6/16/18,0,0,
6/17/18,0,0,
6/18/18,0,0,
6/19/18,0,1.5,
6/20/18,0,1.3,
6/21/18,0,0,
6/22/18,0,0,
6/23/18,0,0,
6/24/18,0,0,
6/25/18,0,14,
6/26/18,0,1.5,
6/27/18,0,0,
6/28/18,0,0,
6/29/18,0,0,
6/30/18,0,0.3,
7/1/18,0,0.3,
7/2/18,0,0,
7/3/18,0,0,
7/4/18,0,0,
7/5/18,0,9.1,
7/6/18,0,0,
7/7/18,0,0,
7/8/18,0,0,
7/9/18,0,0,
7/10/18,0,0,
7/11/18,0,0,
7/12/18,0,0,
7/13/18,0,3,
7/14/18,0,42.7,
7/15/18,0,0,
7/16/18,0,0,
7/17/18,0,6.1,
7/18/18,0,0,
7/19/18,0,6.4,
7/20/18,0,0,
7/21/18,0,0,
7/22/18,0,0,
7/23/18,0,0,
7/24/18,0,0,
7/25/18,0,0.3,
7/26/18,0,2,
7/27/18,0,0,
7/28/18,0,0,
7/29/18,0,11.9,
7/30/18,0,4.8,
7/31/18,0,0,
8/1/18,0,0,0
8/2/18,0,0,0
8/3/18,0,0,0
8/4/18,0,0.254,0.01
8/5/18,0,0.254,0.01
8/6/18,0,0,0
8/7/18,0,13.462,0.53
8/8/18,0,0,0
8/9/18,0,0,0
8/10/18,0,0,0
8/11/18,0,0,0
8/12/18,0,0,0
8/13/18,0,0,0
8/14/18,0,11.684,0.46
8/15/18,0,22.606,0.89
8/16/18,0,0.508,0.02
8/17/18,0,0,0
8/18/18,0,0,0
8/19/18,0,0,0
8/20/18,0,79.502,3.13
8/21/18,0,2.794,0.11
8/22/18,0,0.508,0.02
8/23/18,0,1.524,0.06
8/24/18,0,42.672,1.68
8/25/18,0,0,0
8/26/18,0,13.97,0.55
8/27/18,0,0,0
8/28/18,0,0,0
8/29/18,0,0,0
8/30/18,0,0,0
8/31/18,0,0,0
9/1/18,0,0,0
9/2/18,0,0,0
9/3/18,0,117.094,4.61
9/4/18,0,12.192,0.48
9/5/18,0,16.51,0.65
9/6/18,0,23.622,0.93
9/7/18,0,0.508,0.02
9/8/18,0,1.27,0.05
9/9/18,0,0,0
9/10/18,0,0,0
9/11/18,0,0,0
9/12/18,0,0,0
9/13/18,0,0,0
9/14/18,0,0,0
9/15/18,0,0,0
9/16/18,0,0,0
9/17/18,0,0,0
9/18/18,0,0,0
9/19/18,0,0,0
9/20/18,0,0,0
9/21/18,0,0,0
9/22/18,0,0,0
9/23/18,0,0,0
9/24/18,0,0,0
9/25/18,0,0,0
9/26/18,0,0,0
9/27/18,0,0,0
9/28/18,0,0,0
9/29/18,0,4.318,0.17
9/30/18,0,0.508,0.02
10/1/18,0,0.508,0.02
10/2/18,0,0,0
10/3/18,0,0,0
10/4/18,0,18.288,0.72
10/5/18,0,0.254,0.01
10/6/18,0,35.052,1.38
10/7/18,0,20.066,0.79
10/8/18,0,12.192,0.48
10/9/18,5.3,31.242,1.23
10/10/18,0.01,19.558,0.77
10/11/18,0,0,0
10/12/18,0,2.794,0.11
10/13/18,0,2.794,0.11
10/14/18,0,0.254,0.01
10/15/18,0,3.048,0.12
10/16/18,0,0,0
10/17/18,0,0,0
10/18/18,0,0,0
10/19/18,0,0,0
10/20/18,0,0,0
10/21/18,0.01,0,0
10/22/18,0.07,0,0
10/23/18,0.02,0,0
10/24/18,0.03,0,0
10/25/18,0.17,4.318,0.17
10/26/18,0.33,9.398,0.37
10/27/18,0.26,0.254,0.01
10/28/18,0.14,0,0
10/29/18,0.15,0,0
10/30/18,0.17,0,0
10/31/18,0.11,0,0
11/1/18,0.12,0,0
11/2/18,0.12,0,0
11/3/18,0.11,0,0
11/4/18,0.1,0,0
11/5/18,0.12,4.572,0.18
11/6/18,0.08,0.762,0.03
11/7/18,0.06,1.778,0.07
11/8/18,0.06,0,0
11/9/18,0.05,3.556,0.14
11/10/18,0.06,0,0
11/11/18,0.06,0,0
11/12/18,0.04,1.778,0.07
11/13/18,0.04,0,0
11/14/18,0.05,0,0
11/15/18,0.06,0,0
11/16/18,0.05,0,0
11/17/18,0.04,0,0
11/18/18,0.03,0,0
11/19/18,0.04,0,0
11/20/18,0.01,0,0
11/21/18,0.01,0,0
11/22/18,0,0,0
11/23/18,0,0,0
11/24/18,0,0,0
11/25/18,0,0,0
11/26/18,0,22.098,0.87
11/27/18,0,0,0
11/28/18,0,0,0
11/29/18,0,0,0
11/30/18,0,0,0
12/1/18,1.2,25.654,1.01
12/2/18,2.5,11.176,0.44
12/3/18,2.1,0,0
12/4/18,2,0,0
12/5/18,2,0,0
12/6/18,1.8,0,0
12/7/18,1.7,0,0
12/8/18,1.7,0,0
12/9/18,1.7,0,0
12/10/18,1.6,0,0
12/11/18,1.6,0,0
12/12/18,1.6,0,0
12/13/18,1.5,0,0
12/14/18,1.4,0,0
12/15/18,1.4,0,0
12/16/18,1.3,0,0
12/17/18,1.3,0,0
12/18/18,1.3,0,0
12/19/18,1.3,0,0
12/20/18,1.1,0,0
12/21/18,1.2,0,0
12/22/18,1.1,0,0
12/23/18,0.98,0,0
12/24/18,1,0,0
12/25/18,0.95,0,0
12/26/18,2.1,8.89,0.35
12/27/18,2.9,28.956,1.14
12/28/18,2.7,0,0
12/29/18,2.5,0,0
12/30/18,2.6,0,0
12/31/18,2.4,0.254,0.01
1/1/19,2.1,0,0
1/2/19,2.2,0,0
1/3/19,2.1,0,0
1/4/19,2.1,0,0
1/5/19,2,0,0
1/6/19,2,0,0
1/7/19,1.9,0,0
1/8/19,1.7,0,0
1/9/19,1.6,0,0
1/10/19,1.7,0,0
1/11/19,1.7,0,0
1/12/19,1.7,7.112,0.28
1/13/19,1.6,0,0
1/14/19,1.6,0,0
1/15/19,1.6,0,0
1/16/19,1.6,0,0
1/17/19,1.5,0,0
1/18/19,1.7,0.762,0.03
1/19/19,1.6,6.096,0.24
1/20/19,1.7,0,0
1/21/19,1.9,0,0
1/22/19,1.9,0.254,0.01
1/23/19,1.9,1.524,0.06
1/24/19,1.8,0,0
1/25/19,1.9,0,0
1/26/19,2,0,0
1/27/19,2,0,0
1/28/19,2.1,2.794,0.11
1/29/19,2.1,0,0
1/30/19,2.1,0,0
1/31/19,2.2,0,0
