RecDate,watershed,ppt
4/14/1996,002C,12.80
4/14/1996,004B,11.00
4/14/1996,020B,12.10
4/14/1996,HQ,14.10
4/14/1996,HQ02,14.10
4/14/1996,K01B,6.00
4/14/1996,N01B,10.00
4/14/1996,N02B,11.00
4/14/1996,N4DF,11.00
4/14/1996,N4DU,10.00
4/14/1996,R01A,10.00
4/27/1996,002C,9.50
4/27/1996,004B,1.50
4/27/1996,020B,2.10
4/27/1996,HQ,1.30
4/27/1996,HQ02,0.50
4/27/1996,K01B,1.60
4/27/1996,N01B,1.00
4/27/1996,N02B,0.00
4/27/1996,N4DF,1.30
4/27/1996,N4DU,1.60
4/27/1996,R01A,4.00
4/28/1996,002C,15.50
4/28/1996,004B,14.00
4/28/1996,020B,23.00
4/28/1996,HQ,11.20
4/28/1996,HQ02,12.00
4/28/1996,K01B,11.60
4/28/1996,N01B,14.10
4/28/1996,N02B,11.00
4/28/1996,N4DF,14.00
4/28/1996,N4DU,.
4/28/1996,R01A,13.10
4/29/1996,002C,0.60
4/29/1996,004B,8.00
4/29/1996,020B,10.00
4/29/1996,HQ,7.50
4/29/1996,HQ02,7.00
4/29/1996,K01B,7.00
4/29/1996,N01B,9.00
4/29/1996,N02B,6.00
4/29/1996,N4DF,7.50
4/29/1996,N4DU,.
4/29/1996,R01A,0.00
4/30/1996,002C,0.10
4/30/1996,004B,1.80
4/30/1996,020B,0.10
4/30/1996,HQ,0.20
4/30/1996,HQ02,0.00
4/30/1996,K01B,0.20
4/30/1996,N01B,0.20
4/30/1996,N02B,0.20
4/30/1996,N4DF,0.20
4/30/1996,N4DU,1.50
4/30/1996,R01A,0.00
5/2/1996,002C,0.80
5/2/1996,004B,0.10
5/2/1996,020B,1.00
5/2/1996,HQ,0.40
5/2/1996,HQ02,0.60
5/2/1996,K01B,0.00
5/2/1996,N01B,0.20
5/2/1996,N02B,0.20
5/2/1996,N4DF,0.00
5/2/1996,N4DU,0.30
5/2/1996,R01A,0.00
5/4/1996,002C,25.00
5/4/1996,004B,31.10
5/4/1996,020B,29.00
5/4/1996,HQ,29.20
5/4/1996,HQ02,30.60
5/4/1996,K01B,24.20
5/4/1996,N01B,24.10
5/4/1996,N02B,26.00
5/4/1996,N4DF,27.70
5/4/1996,N4DU,30.00
5/4/1996,R01A,27.80
5/5/1996,002C,11.90
5/5/1996,004B,7.60
5/5/1996,020B,10.00
5/5/1996,HQ,7.70
5/5/1996,HQ02,8.90
5/5/1996,K01B,8.00
5/5/1996,N01B,7.00
5/5/1996,N02B,5.00
5/5/1996,N4DF,6.00
5/5/1996,N4DU,7.00
5/5/1996,R01A,9.00
5/6/1996,002C,0.30
5/6/1996,004B,0.00
5/6/1996,020B,0.20
5/6/1996,HQ,0.20
5/6/1996,HQ02,0.30
5/6/1996,K01B,0.00
5/6/1996,N01B,0.00
5/6/1996,N02B,0.20
5/6/1996,N4DF,0.20
5/6/1996,N4DU,0.00
5/6/1996,R01A,0.10
5/7/1996,002C,41.20
5/7/1996,004B,29.00
5/7/1996,020B,38.00
5/7/1996,HQ,22.50
5/7/1996,HQ02,23.30
5/7/1996,K01B,33.80
5/7/1996,N01B,26.00
5/7/1996,N02B,26.80
5/7/1996,N4DF,31.90
5/7/1996,N4DU,32.00
5/7/1996,R01A,37.20
5/10/1996,002C,6.90
5/10/1996,004B,9.10
5/10/1996,020B,12.10
5/10/1996,HQ,14.20
5/10/1996,HQ02,14.00
5/10/1996,K01B,9.10
5/10/1996,N01B,9.10
5/10/1996,N02B,8.10
5/10/1996,N4DF,9.00
5/10/1996,N4DU,9.50
5/10/1996,R01A,4.20
5/12/1996,002C,2.00
5/12/1996,004B,.
5/12/1996,020B,0.50
5/12/1996,HQ,1.90
5/12/1996,HQ02,2.00
5/12/1996,K01B,0.60
5/12/1996,N01B,0.20
5/12/1996,N02B,0.00
5/12/1996,N4DF,0.00
5/12/1996,N4DU,0.20
5/12/1996,R01A,1.00
5/13/1996,002C,0.90
5/13/1996,004B,.
5/13/1996,020B,0.00
5/13/1996,HQ,0.20
5/13/1996,HQ02,0.20
5/13/1996,K01B,0.20
5/13/1996,N01B,0.10
5/13/1996,N02B,0.00
5/13/1996,N4DF,0.00
5/13/1996,N4DU,0.00
5/13/1996,R01A,0.20
5/23/1996,002C,1.00
5/23/1996,004B,0.90
5/23/1996,020B,2.00
5/23/1996,HQ,2.20
5/23/1996,HQ02,2.00
5/23/1996,K01B,1.80
5/23/1996,N01B,2.30
5/23/1996,N02B,0.00
5/23/1996,N4DF,1.00
5/23/1996,N4DU,1.00
5/23/1996,R01A,0.00
5/24/1996,002C,7.00
5/24/1996,004B,.
5/24/1996,020B,11.10
5/24/1996,HQ,10.50
5/24/1996,HQ02,10.80
5/24/1996,K01B,13.00
5/24/1996,N01B,11.00
5/24/1996,N02B,8.00
5/24/1996,N4DF,9.50
5/24/1996,N4DU,12.10
5/24/1996,R01A,0.00
5/25/1996,002C,6.00
5/25/1996,004B,.
5/25/1996,020B,1.00
5/25/1996,HQ,4.00
5/25/1996,HQ02,4.60
5/25/1996,K01B,2.50
5/25/1996,N01B,5.00
5/25/1996,N02B,3.00
5/25/1996,N4DF,4.00
5/25/1996,N4DU,3.90
5/25/1996,R01A,13.00
5/26/1996,002C,65.00
5/26/1996,004B,66.10
5/26/1996,020B,74.00
5/26/1996,HQ,79.30
5/26/1996,HQ02,82.60
5/26/1996,K01B,72.50
5/26/1996,N01B,67.10
5/26/1996,N02B,65.00
5/26/1996,N4DF,69.00
5/26/1996,N4DU,70.00
5/26/1996,R01A,62.50
5/30/1996,002C,0.00
5/30/1996,004B,0.00
5/30/1996,020B,0.00
5/30/1996,HQ,1.00
5/30/1996,HQ02,0.60
5/30/1996,K01B,1.00
5/30/1996,N01B,0.00
5/30/1996,N02B,1.00
5/30/1996,N4DF,0.50
5/30/1996,N4DU,.
5/30/1996,R01A,0.00
5/31/1996,002C,23.00
5/31/1996,004B,31.00
5/31/1996,020B,24.00
5/31/1996,HQ,11.50
5/31/1996,HQ02,13.50
5/31/1996,K01B,21.50
5/31/1996,N01B,20.00
5/31/1996,N02B,11.00
5/31/1996,N4DF,18.00
5/31/1996,N4DU,.
5/31/1996,R01A,12.50
6/1/1996,002C,17.00
6/1/1996,004B,3.00
6/1/1996,020B,17.50
6/1/1996,HQ,18.00
6/1/1996,HQ02,16.00
6/1/1996,K01B,14.60
6/1/1996,N01B,18.00
6/1/1996,N02B,14.90
6/1/1996,N4DF,17.00
6/1/1996,N4DU,.
6/1/1996,R01A,12.10
6/6/1996,002C,19.10
6/6/1996,004B,15.00
6/6/1996,020B,19.00
6/6/1996,HQ,19.10
6/6/1996,HQ02,18.00
6/6/1996,K01B,18.00
6/6/1996,N01B,17.00
6/6/1996,N02B,12.00
6/6/1996,N4DF,14.90
6/6/1996,N4DU,16.00
6/6/1996,R01A,8.90
6/7/1996,002C,6.60
6/7/1996,004B,4.10
6/7/1996,020B,6.90
6/7/1996,HQ,4.50
6/7/1996,HQ02,4.20
6/7/1996,K01B,5.00
6/7/1996,N01B,7.00
6/7/1996,N02B,3.00
6/7/1996,N4DF,4.80
6/7/1996,N4DU,4.50
6/7/1996,R01A,3.60
6/15/1996,002C,7.00
6/15/1996,004B,7.10
6/15/1996,020B,6.00
6/15/1996,HQ,3.70
6/15/1996,HQ02,2.10
6/15/1996,K01B,7.10
6/15/1996,N01B,6.00
6/15/1996,N02B,1.00
6/15/1996,N4DF,7.70
6/15/1996,N4DU,6.00
6/15/1996,R01A,1.00
6/16/1996,002C,1.00
6/16/1996,004B,0.90
6/16/1996,020B,0.60
6/16/1996,HQ,0.80
6/16/1996,HQ02,0.50
6/16/1996,K01B,0.20
6/16/1996,N01B,0.00
6/16/1996,N02B,0.00
6/16/1996,N4DF,0.20
6/16/1996,N4DU,0.00
6/16/1996,R01A,0.00
6/17/1996,002C,2.00
6/17/1996,004B,2.90
6/17/1996,020B,7.70
6/17/1996,HQ,2.00
6/17/1996,HQ02,2.00
6/17/1996,K01B,3.00
6/17/1996,N01B,3.80
6/17/1996,N02B,2.90
6/17/1996,N4DF,3.00
6/17/1996,N4DU,3.50
6/17/1996,R01A,0.90
6/21/1996,002C,0.30
6/21/1996,004B,0.20
6/21/1996,020B,0.60
6/21/1996,HQ,0.50
6/21/1996,HQ02,0.00
6/21/1996,K01B,0.70
6/21/1996,N01B,0.50
6/21/1996,N02B,0.20
6/21/1996,N4DF,0.50
6/21/1996,N4DU,0.20
6/21/1996,R01A,0.20
6/22/1996,002C,1.10
6/22/1996,004B,0.00
6/22/1996,020B,0.80
6/22/1996,HQ,1.60
6/22/1996,HQ02,1.50
6/22/1996,K01B,0.50
6/22/1996,N01B,0.30
6/22/1996,N02B,0.30
6/22/1996,N4DF,1.00
6/22/1996,N4DU,0.00
6/22/1996,R01A,0.70
6/23/1996,002C,0.20
6/23/1996,004B,0.00
6/23/1996,020B,0.90
6/23/1996,HQ,0.20
6/23/1996,HQ02,0.10
6/23/1996,K01B,0.20
6/23/1996,N01B,0.00
6/23/1996,N02B,0.10
6/23/1996,N4DF,0.20
6/23/1996,N4DU,0.00
6/23/1996,R01A,0.10
6/24/1996,002C,13.30
6/24/1996,004B,14.00
6/24/1996,020B,10.50
6/24/1996,HQ,15.00
6/24/1996,HQ02,14.10
6/24/1996,K01B,12.00
6/24/1996,N01B,11.00
6/24/1996,N02B,10.00
6/24/1996,N4DF,12.10
6/24/1996,N4DU,12.90
6/24/1996,R01A,17.00
6/27/1996,002C,2.00
6/27/1996,004B,3.00
6/27/1996,020B,2.00
6/27/1996,HQ,3.60
6/27/1996,HQ02,3.10
6/27/1996,K01B,1.00
6/27/1996,N01B,1.20
6/27/1996,N02B,1.20
6/27/1996,N4DF,1.50
6/27/1996,N4DU,3.00
6/27/1996,R01A,1.10
6/29/1996,002C,0.20
6/29/1996,004B,0.70
6/29/1996,020B,1.60
6/29/1996,HQ,1.60
6/29/1996,HQ02,1.20
6/29/1996,K01B,0.30
6/29/1996,N01B,0.30
6/29/1996,N02B,0.10
6/29/1996,N4DF,1.20
6/29/1996,N4DU,0.20
6/29/1996,R01A,0.20
7/3/1996,002C,.
7/3/1996,004B,1.00
7/3/1996,020B,2.00
7/3/1996,HQ,1.20
7/3/1996,HQ02,1.00
7/3/1996,K01B,1.00
7/3/1996,N01B,0.80
7/3/1996,N02B,0.00
7/3/1996,N4DF,1.00
7/3/1996,N4DU,0.70
7/3/1996,R01A,0.00
7/8/1996,002C,46.10
7/8/1996,004B,51.20
7/8/1996,020B,65.00
7/8/1996,HQ,40.80
7/8/1996,HQ02,41.00
7/8/1996,K01B,44.50
7/8/1996,N01B,55.00
7/8/1996,N02B,44.00
7/8/1996,N4DF,56.00
7/8/1996,N4DU,55.00
7/8/1996,R01A,45.00
7/13/1996,002C,3.60
7/13/1996,004B,1.00
7/13/1996,020B,1.50
7/13/1996,HQ,2.40
7/13/1996,HQ02,2.00
7/13/1996,K01B,1.00
7/13/1996,N01B,1.50
7/13/1996,N02B,.
7/13/1996,N4DF,2.40
7/13/1996,N4DU,.
7/13/1996,R01A,1.00
7/14/1996,002C,0.50
7/14/1996,004B,0.20
7/14/1996,020B,0.30
7/14/1996,HQ,1.00
7/14/1996,HQ02,1.00
7/14/1996,K01B,0.50
7/14/1996,N01B,0.50
7/14/1996,N02B,.
7/14/1996,N4DF,0.00
7/14/1996,N4DU,.
7/14/1996,R01A,0.00
7/19/1996,002C,20.50
7/19/1996,004B,13.20
7/19/1996,020B,20.00
7/19/1996,HQ,7.00
7/19/1996,HQ02,6.50
7/19/1996,K01B,15.10
7/19/1996,N01B,15.20
7/19/1996,N02B,.
7/19/1996,N4DF,14.10
7/19/1996,N4DU,14.10
7/19/1996,R01A,14.00
7/20/1996,002C,0.00
7/20/1996,004B,2.00
7/20/1996,020B,2.80
7/20/1996,HQ,2.70
7/20/1996,HQ02,6.40
7/20/1996,K01B,5.40
7/20/1996,N01B,0.40
7/20/1996,N02B,.
7/20/1996,N4DF,2.10
7/20/1996,N4DU,2.10
7/20/1996,R01A,2.10
7/22/1996,002C,28.20
7/22/1996,004B,29.10
7/22/1996,020B,40.10
7/22/1996,HQ,27.80
7/22/1996,HQ02,25.00
7/22/1996,K01B,28.30
7/22/1996,N01B,36.30
7/22/1996,N02B,.
7/22/1996,N4DF,39.10
7/22/1996,N4DU,30.10
7/22/1996,R01A,19.20
7/26/1996,002C,5.20
7/26/1996,004B,5.60
7/26/1996,020B,6.80
7/26/1996,HQ,6.20
7/26/1996,HQ02,.
7/26/1996,K01B,9.70
7/26/1996,N01B,7.10
7/26/1996,N02B,4.10
7/26/1996,N4DF,7.10
7/26/1996,N4DU,6.80
7/26/1996,R01A,1.10
7/30/1996,002C,0.40
7/30/1996,004B,.
7/30/1996,020B,0.40
7/30/1996,HQ,0.20
7/30/1996,HQ02,.
7/30/1996,K01B,0.60
7/30/1996,N01B,1.20
7/30/1996,N02B,0.40
7/30/1996,N4DF,1.30
7/30/1996,N4DU,0.00
7/30/1996,R01A,0.00
7/31/1996,002C,0.00
7/31/1996,004B,0.00
7/31/1996,020B,0.00
7/31/1996,HQ,0.40
7/31/1996,HQ02,0.00
7/31/1996,K01B,0.00
7/31/1996,N01B,0.00
7/31/1996,N02B,.
7/31/1996,N4DF,0.00
7/31/1996,N4DU,0.00
7/31/1996,R01A,0.00
8/1/1996,002C,0.00
8/1/1996,004B,0.00
8/1/1996,020B,0.00
8/1/1996,HQ,2.20
8/1/1996,HQ02,2.10
8/1/1996,K01B,0.00
8/1/1996,N01B,0.30
8/1/1996,N02B,.
8/1/1996,N4DF,0.00
8/1/1996,N4DU,0.00
8/1/1996,R01A,0.00
8/5/1996,002C,5.90
8/5/1996,004B,4.00
8/5/1996,020B,4.50
8/5/1996,HQ,5.70
8/5/1996,HQ02,3.10
8/5/1996,K01B,4.30
8/5/1996,N01B,3.30
8/5/1996,N02B,.
8/5/1996,N4DF,4.10
8/5/1996,N4DU,4.60
8/5/1996,R01A,2.60
8/7/1996,002C,5.50
8/7/1996,004B,0.00
8/7/1996,020B,3.10
8/7/1996,HQ,5.00
8/7/1996,HQ02,3.90
8/7/1996,K01B,3.30
8/7/1996,N01B,3.10
8/7/1996,N02B,.
8/7/1996,N4DF,3.20
8/7/1996,N4DU,3.30
8/7/1996,R01A,1.70
8/10/1996,002C,9.00
8/10/1996,004B,9.80
8/10/1996,020B,8.80
8/10/1996,HQ,8.90
8/10/1996,HQ02,9.00
8/10/1996,K01B,8.70
8/10/1996,N01B,8.50
8/10/1996,N02B,.
8/10/1996,N4DF,9.10
8/10/1996,N4DU,9.10
8/10/1996,R01A,5.90
8/11/1996,002C,1.40
8/11/1996,004B,0.90
8/11/1996,020B,1.60
8/11/1996,HQ,0.80
8/11/1996,HQ02,0.60
8/11/1996,K01B,1.30
8/11/1996,N01B,0.00
8/11/1996,N02B,.
8/11/1996,N4DF,1.10
8/11/1996,N4DU,1.50
8/11/1996,R01A,1.10
8/14/1996,002C,0.00
8/14/1996,004B,0.00
8/14/1996,020B,0.00
8/14/1996,HQ,0.20
8/14/1996,HQ02,0.00
8/14/1996,K01B,0.00
8/14/1996,N01B,0.00
8/14/1996,N02B,0.00
8/14/1996,N4DF,0.00
8/14/1996,N4DU,0.00
8/14/1996,R01A,0.00
8/15/1996,002C,10.20
8/15/1996,004B,6.10
8/15/1996,020B,7.10
8/15/1996,HQ,0.80
8/15/1996,HQ02,1.40
8/15/1996,K01B,9.00
8/15/1996,N01B,7.90
8/15/1996,N02B,0.60
8/15/1996,N4DF,1.70
8/15/1996,N4DU,5.10
8/15/1996,R01A,0.80
8/16/1996,002C,33.00
8/16/1996,004B,41.80
8/16/1996,020B,34.50
8/16/1996,HQ,30.00
8/16/1996,HQ02,30.50
8/16/1996,K01B,25.10
8/16/1996,N01B,28.80
8/16/1996,N02B,35.00
8/16/1996,N4DF,31.30
8/16/1996,N4DU,44.20
8/16/1996,R01A,33.40
8/17/1996,002C,0.00
8/17/1996,004B,0.00
8/17/1996,020B,1.00
8/17/1996,HQ,1.30
8/17/1996,HQ02,2.00
8/17/1996,K01B,0.70
8/17/1996,N01B,0.30
8/17/1996,N02B,.
8/17/1996,N4DF,0.30
8/17/1996,N4DU,0.00
8/17/1996,R01A,10.90
8/19/1996,002C,30.20
8/19/1996,004B,30.70
8/19/1996,020B,34.20
8/19/1996,HQ,38.40
8/19/1996,HQ02,39.10
8/19/1996,K01B,28.00
8/19/1996,N01B,27.90
8/19/1996,N02B,.
8/19/1996,N4DF,30.30
8/19/1996,N4DU,28.20
8/19/1996,R01A,33.10
8/21/1996,002C,1.00
8/21/1996,004B,0.20
8/21/1996,020B,0.60
8/21/1996,HQ,0.30
8/21/1996,HQ02,0.30
8/21/1996,K01B,0.10
8/21/1996,N01B,0.10
8/21/1996,N02B,.
8/21/1996,N4DF,0.10
8/21/1996,N4DU,0.20
8/21/1996,R01A,0.20
8/22/1996,002C,4.90
8/22/1996,004B,1.90
8/22/1996,020B,2.30
8/22/1996,HQ,1.80
8/22/1996,HQ02,2.00
8/22/1996,K01B,0.40
8/22/1996,N01B,0.80
8/22/1996,N02B,.
8/22/1996,N4DF,1.00
8/22/1996,N4DU,1.10
8/22/1996,R01A,3.50
8/23/1996,002C,63.00
8/23/1996,004B,34.10
8/23/1996,020B,65.00
8/23/1996,HQ,1.40
8/23/1996,HQ02,1.60
8/23/1996,K01B,62.00
8/23/1996,N01B,53.20
8/23/1996,N02B,.
8/23/1996,N4DF,31.00
8/23/1996,N4DU,44.00
8/23/1996,R01A,35.60
8/29/1996,002C,0.20
8/29/1996,004B,2.00
8/29/1996,020B,0.90
8/29/1996,HQ,0.60
8/29/1996,HQ02,0.30
8/29/1996,K01B,0.00
8/29/1996,N01B,.
8/29/1996,N02B,0.20
8/29/1996,N4DF,0.90
8/29/1996,N4DU,1.00
8/29/1996,R01A,2.00
9/7/1996,002C,12.90
9/7/1996,004B,12.00
9/7/1996,020B,12.00
9/7/1996,HQ,0.20
9/7/1996,HQ02,0.20
9/7/1996,K01B,7.20
9/7/1996,N01B,9.00
9/7/1996,N02B,0.90
9/7/1996,N4DF,5.00
9/7/1996,N4DU,.
9/7/1996,R01A,7.50
9/14/1996,002C,7.00
9/14/1996,004B,6.10
9/14/1996,020B,6.20
9/14/1996,HQ,6.50
9/14/1996,HQ02,6.20
9/14/1996,K01B,6.00
9/14/1996,N01B,.
9/14/1996,N02B,4.30
9/14/1996,N4DF,6.00
9/14/1996,N4DU,.
9/14/1996,R01A,2.10
9/15/1996,002C,14.20
9/15/1996,004B,13.00
9/15/1996,020B,14.40
9/15/1996,HQ,10.00
9/15/1996,HQ02,10.00
9/15/1996,K01B,11.20
9/15/1996,N01B,.
9/15/1996,N02B,12.00
9/15/1996,N4DF,13.00
9/15/1996,N4DU,.
9/15/1996,R01A,14.70
9/16/1996,002C,0.00
9/16/1996,004B,4.00
9/16/1996,020B,4.00
9/16/1996,HQ,4.90
9/16/1996,HQ02,5.00
9/16/1996,K01B,3.80
9/16/1996,N01B,.
9/16/1996,N02B,3.90
9/16/1996,N4DF,5.90
9/16/1996,N4DU,.
9/16/1996,R01A,0.00
9/18/1996,002C,10.40
9/18/1996,004B,8.00
9/18/1996,020B,10.00
9/18/1996,HQ,8.40
9/18/1996,HQ02,8.20
9/18/1996,K01B,9.80
9/18/1996,N01B,10.80
9/18/1996,N02B,5.60
9/18/1996,N4DF,9.60
9/18/1996,N4DU,9.20
9/18/1996,R01A,.
9/19/1996,002C,25.80
9/19/1996,004B,24.00
9/19/1996,020B,31.20
9/19/1996,HQ,22.60
9/19/1996,HQ02,25.50
9/19/1996,K01B,24.20
9/19/1996,N01B,25.20
9/19/1996,N02B,24.50
9/19/1996,N4DF,26.90
9/19/1996,N4DU,25.40
9/19/1996,R01A,23.00
9/23/1996,002C,0.00
9/23/1996,004B,0.00
9/23/1996,020B,0.00
9/23/1996,HQ,0.20
9/23/1996,HQ02,0.00
9/23/1996,K01B,.
9/23/1996,N01B,0.00
9/23/1996,N02B,0.00
9/23/1996,N4DF,0.00
9/23/1996,N4DU,0.00
9/23/1996,R01A,0.00
9/25/1996,002C,14.80
9/25/1996,004B,12.40
9/25/1996,020B,16.50
9/25/1996,HQ,15.10
9/25/1996,HQ02,19.00
9/25/1996,K01B,11.10
9/25/1996,N01B,11.50
9/25/1996,N02B,11.20
9/25/1996,N4DF,12.70
9/25/1996,N4DU,12.20
9/25/1996,R01A,9.60
9/26/1996,002C,19.20
9/26/1996,004B,19.30
9/26/1996,020B,22.50
9/26/1996,HQ,20.00
9/26/1996,HQ02,16.80
9/26/1996,K01B,17.00
9/26/1996,N01B,17.50
9/26/1996,N02B,22.00
9/26/1996,N4DF,20.80
9/26/1996,N4DU,21.20
9/26/1996,R01A,22.60
10/1/1996,002C,0.60
10/1/1996,004B,0.00
10/1/1996,020B,0.00
10/1/1996,HQ,0.00
10/1/1996,HQ02,0.00
10/1/1996,K01B,0.00
10/1/1996,N01B,0.00
10/1/1996,N02B,0.00
10/1/1996,N4DF,0.00
10/1/1996,N4DU,0.00
10/1/1996,R01A,0.00
10/6/1996,002C,0.00
10/6/1996,004B,0.00
10/6/1996,020B,0.00
10/6/1996,HQ,0.20
10/6/1996,HQ02,0.00
10/6/1996,K01B,0.00
10/6/1996,N01B,0.00
10/6/1996,N02B,0.00
10/6/1996,N4DF,0.00
10/6/1996,N4DU,0.00
10/6/1996,R01A,0.00
10/7/1996,002C,41.50
10/7/1996,004B,41.60
10/7/1996,020B,49.60
10/7/1996,HQ,30.20
10/7/1996,HQ02,30.80
10/7/1996,K01B,35.00
10/7/1996,N01B,42.00
10/7/1996,N02B,36.20
10/7/1996,N4DF,42.80
10/7/1996,N4DU,41.20
10/7/1996,R01A,39.80
10/22/1996,002C,29.00
10/22/1996,004B,23.00
10/22/1996,020B,28.00
10/22/1996,HQ,29.20
10/22/1996,HQ02,32.00
10/22/1996,K01B,22.90
10/22/1996,N01B,21.00
10/22/1996,N02B,18.80
10/22/1996,N4DF,31.00
10/22/1996,N4DU,21.00
10/22/1996,R01A,22.80
10/29/1996,002C,30.40
10/29/1996,004B,24.00
10/29/1996,020B,39.30
10/29/1996,HQ,19.30
10/29/1996,HQ02,.
10/29/1996,K01B,29.20
10/29/1996,N01B,27.80
10/29/1996,N02B,22.20
10/29/1996,N4DF,26.50
10/29/1996,N4DU,23.10
10/29/1996,R01A,17.50
11/4/1996,002C,4.20
11/4/1996,004B,3.20
11/4/1996,020B,3.10
11/4/1996,HQ,4.00
11/4/1996,HQ02,.
11/4/1996,K01B,3.80
11/4/1996,N01B,4.00
11/4/1996,N02B,2.00
11/4/1996,N4DF,2.00
11/4/1996,N4DU,3.20
11/4/1996,R01A,1.60
11/15/1996,002C,.
11/15/1996,004B,.
11/15/1996,020B,.
11/15/1996,HQ,1.00
11/15/1996,HQ02,0.00
11/15/1996,K01B,.
11/15/1996,N01B,.
11/15/1996,N02B,.
11/15/1996,N4DF,.
11/15/1996,N4DU,.
11/15/1996,R01A,.
11/16/1996,002C,.
11/16/1996,004B,.
11/16/1996,020B,.
11/16/1996,HQ,51.50
11/16/1996,HQ02,53.50
11/16/1996,K01B,.
11/16/1996,N01B,.
11/16/1996,N02B,.
11/16/1996,N4DF,.
11/16/1996,N4DU,.
11/16/1996,R01A,.
11/25/1996,002C,.
11/25/1996,004B,.
11/25/1996,020B,.
11/25/1996,HQ,1.80
11/25/1996,HQ02,0.00
11/25/1996,K01B,.
11/25/1996,N01B,.
11/25/1996,N02B,.
11/25/1996,N4DF,.
11/25/1996,N4DU,.
11/25/1996,R01A,.
11/29/1996,002C,.
11/29/1996,004B,.
11/29/1996,020B,.
11/29/1996,HQ,17.90
11/29/1996,HQ02,17.40
11/29/1996,K01B,.
11/29/1996,N01B,.
11/29/1996,N02B,.
11/29/1996,N4DF,.
11/29/1996,N4DU,.
11/29/1996,R01A,.
12/16/1996,002C,.
12/16/1996,004B,.
12/16/1996,020B,.
12/16/1996,HQ,3.10
12/16/1996,HQ02,5.00
12/16/1996,K01B,.
12/16/1996,N01B,.
12/16/1996,N02B,.
12/16/1996,N4DF,.
12/16/1996,N4DU,.
12/16/1996,R01A,.
